date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:00	111925/111925	U--MCZ	200	updated ('OK')	text/html	etag:%224ee02e1e8fb39376b4cae06ae1fc1a43%22	https://www.yoodo.com.my/	www.yoodo.com.my/index.html	(from )
19:09:00	1532/1532	---MCZ	403	error ('Access%20Forbidden')	text/html	date:Thu,%2016%20Oct%202025%2011:09:00%20GMT	https://www.yoodo.com.my/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.yoodo.com.my%2F	www.yoodo.com.my/wp-json/oembed/1.0/embede719	(from https://www.yoodo.com.my/)
19:09:01	1532/1532	---MCZ	403	error ('Access%20Forbidden')	text/html	date:Thu,%2016%20Oct%202025%2011:09:01%20GMT	https://www.yoodo.com.my/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.yoodo.com.my%2F&format=xml	www.yoodo.com.my/wp-json/oembed/1.0/embedba87	(from https://www.yoodo.com.my/)
19:09:02	881784/881784	U-----	200	untouched ('OK')	text/css	etag:%22pub1724948261;gz%22	https://www.yoodo.com.my/?w3tc_minify=57922.default.include.c12c23.css	www.yoodo.com.my/index1c49.html	(from https://www.yoodo.com.my/)
19:09:02	25245/25245	U--MCZ	200	updated ('OK')	text/html	etag:%22b4818df6c950a474050bcecc01dc3615%22	https://www.yoodo.com.my/amp/	www.yoodo.com.my/amp/index.html	(from https://www.yoodo.com.my/)
19:09:02	242990/242990	U-----	200	untouched ('OK')	application/x-javascript	etag:%22pub1722400592;gz%22	https://www.yoodo.com.my/?w3tc_minify=57922.default.include.65d597.js	www.yoodo.com.my/index05f3.html	(from https://www.yoodo.com.my/)
19:09:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Oct%202025%2011:09:03%20GMT	https://www.yoodo.com.my/blog	www.yoodo.com.my/blog	(from https://www.yoodo.com.my/)
19:09:03	113791/113791	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2016%20Oct%202025%2011:09:03%20GMT	https://www.yoodo.com.my/?lang=ms	www.yoodo.com.my/index99dc.html	(from https://www.yoodo.com.my/)
19:09:04	27187/27187	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Oct%202025%2011:09:04%20GMT	https://www.yoodo.com.my/hc/change_language/ms?return_to=%2Fhc%2Fms	www.yoodo.com.my/hc/change_language/msa8eb	(from https://www.yoodo.com.my/)
19:09:05	62235/62235	U-----	200	untouched ('OK')	text/css	etag:W/%2266d09f25-f31b%22	https://www.yoodo.com.my/wp-content/themes/yoodo/assets/css/global.css?v=02032023&ver=6.3.2	www.yoodo.com.my/wp-content/themes/yoodo/assets/css/global7b30.css	(from https://www.yoodo.com.my/)
